m,n,k,GPU time,GPU Gflops,CPU time,CPU Gflops,error
240,240,240,0.000049,564.244898,0.009082s,3.044263,0.003494
480,480,480,0.000200,1105.920000,0.035973s,6.148611,0.009913
720,720,720,0.000437,1708.228833,0.094008s,7.940771,0.011146
960,960,960,0.000858,2062.321678,0.338557s,5.226511,0.009648
1200,1200,1200,0.001605,2153.271028,0.383312s,9.016154,0.011392
1440,1440,1440,0.002732,2185.932650,0.753292s,7.927826,0.008821
1680,1680,1680,0.004257,2227.687104,0.987605s,9.602284,0.011610
1920,1920,1920,0.006319,2240.192436,3.007424s,4.706944,0.008907
2160,2160,2160,0.008907,2262.871000,2.097291s,9.610203,0.008003
2400,2400,2400,0.012359,2237.074197,5.558891s,4.973654,0.011378
2640,2640,2640,0.016359,2249.494957,4.249350s,8.660028,0.009403
2880,2880,2880,0.021356,2237.111069,9.922692s,4.814797,0.007907
3120,3120,3120,0.026884,2259.435203,7.540008s,8.056047,0.006860
3360,3360,3360,0.034135,2222.531478,17.002027s,4.462180,0.007400
3600,3600,3600,0.041570,2244.695694,12.993395s,7.181495,0.010114
3840,3840,3840,0.050443,2245.033166,27.111842s,4.177002,0.008889
4080,4080,4080,0.059209,2294.155010,25.611128s,5.303735,0.007874
4320,4320,4320,0.071006,2270.838183,36.848163s,4.375880,0.007027
4560,4560,4560,0.084732,2238.087523,42.771032s,4.433787,0.006355
4800,4800,4800,0.101378,2181.775139,48.430222s,4.567066,0.006102
